Epoch,Average Training Error,Average Validation Error
0,237.39312744140625,148.7241973876953
1,154.4179229736328,120.16410064697266
2,123.15628814697266,102.25379943847656
3,86.2128677368164,94.0696029663086
4,69.68115234375,90.02660369873047
5,61.36159896850586,86.97380065917969
6,57.35628890991211,84.58209991455078
7,54.69514846801758,82.40859985351562
8,52.5493049621582,80.66899871826172
9,50.96107482910156,79.26000213623047
10,49.459930419921875,77.9271011352539
11,48.16080856323242,76.62000274658203
12,46.97991943359375,75.43939971923828
13,45.88946533203125,74.50920104980469
14,44.636924743652344,73.46269989013672
15,43.554595947265625,72.5801010131836
16,42.66275405883789,71.92220306396484
17,41.76192092895508,70.9728012084961
18,40.771949768066406,70.1906967163086
19,39.918174743652344,69.6843032836914
20,38.97362518310547,69.02680206298828
21,37.896053314208984,68.37580108642578
22,37.231266021728516,67.89939880371094
23,36.50005340576172,67.18409729003906
24,35.6819953918457,66.64129638671875
25,34.9948844909668,66.36609649658203
26,34.23173904418945,65.75530242919922
27,33.62250900268555,65.2614974975586
28,32.96831130981445,64.8646011352539
29,32.41652297973633,64.58219909667969
