Epoch,Average Training Error,Average Validation Error
0,219.8079071044922,162.39830017089844
1,128.76148986816406,139.0030975341797
2,109.21822357177734,124.8428955078125
3,98.34423065185547,116.87919616699219
4,92.03694915771484,112.29459381103516
5,88.10403442382812,109.25830078125
6,85.59893798828125,107.18779754638672
7,83.77931213378906,105.66510009765625
8,82.62855529785156,104.59649658203125
9,81.78451538085938,103.87289428710938
10,80.95745849609375,103.30669403076172
11,80.42823028564453,102.52999877929688
12,80.011474609375,102.0125961303711
13,79.57571411132812,101.50419616699219
14,79.13040924072266,101.22899627685547
15,78.98259735107422,100.89669799804688
16,78.68029022216797,100.45869445800781
17,78.18849182128906,100.2249984741211
18,78.0196533203125,99.9502944946289
19,77.89163970947266,99.7782974243164
20,77.67656707763672,99.49440002441406
21,77.47044372558594,99.28889465332031
22,77.3375244140625,99.03630065917969
23,77.09451293945312,98.8169937133789
24,76.87207794189453,98.88099670410156
25,76.67549133300781,98.47269439697266
26,76.4963150024414,98.51719665527344
27,76.28369140625,98.24079895019531
28,76.10420227050781,98.08069610595703
29,75.85379791259766,97.94359588623047
30,75.72793579101562,97.90010070800781
31,75.70191955566406,97.75809478759766
32,75.49633026123047,97.7322006225586
33,75.21232604980469,97.53599548339844
34,75.16448974609375,97.44709777832031
35,74.91316986083984,97.28509521484375
36,74.8649673461914,97.2273941040039
37,74.76956176757812,97.31019592285156
38,74.64376831054688,97.28469848632812
39,74.56646728515625,97.06779479980469
40,74.2209701538086,96.9468002319336
41,74.17423248291016,96.8511962890625
42,74.03399658203125,96.73059844970703
43,73.87579345703125,96.83869934082031
44,73.7104721069336,96.7323989868164
45,73.53521728515625,96.64550018310547
46,73.494140625,96.50659942626953
47,73.31720733642578,96.4209976196289
48,73.2673110961914,96.43069458007812
49,73.14509582519531,96.32329559326172
