Epoch,Average Training Error,Average Validation Error
0,256.94158935546875,203.83090209960938
0,193.74588012695312,189.5928955078125
0,170.7255859375,181.9752960205078
0,159.12542724609375,176.99549865722656
0,151.94544982910156,173.44070434570312
0,146.96694946289062,170.5605010986328
0,143.23777770996094,168.10899353027344
0,140.130126953125,165.9293975830078
0,137.4741973876953,164.0706024169922
0,135.3196563720703,162.66830444335938
0,133.30474853515625,161.1562042236328
0,131.64517211914062,159.722900390625
0,130.03543090820312,158.43190002441406
0,128.68807983398438,157.23379516601562
0,127.51126861572266,156.35769653320312
0,126.18505096435547,155.38900756835938
0,125.21837615966797,154.60980224609375
0,124.26541137695312,153.69569396972656
0,123.35350799560547,152.75669860839844
0,122.59468841552734,152.04800415039062
0,121.74728393554688,151.5738067626953
0,121.00868225097656,150.88259887695312
0,120.29497528076172,150.1450958251953
0,119.63856506347656,149.6824951171875
0,119.1376724243164,149.3634033203125
0,118.51229095458984,148.53900146484375
0,118.03388214111328,148.0449981689453
0,117.63116455078125,147.64959716796875
0,117.17167663574219,147.2675018310547
0,116.6588134765625,146.8466033935547
0,116.29813385009766,146.33749389648438
0,115.821533203125,146.1616973876953
0,115.46686553955078,145.95880126953125
0,115.120849609375,145.34530639648438
0,114.8965835571289,144.89430236816406
0,114.44771575927734,144.75259399414062
0,114.20387268066406,144.60169982910156
0,113.97679138183594,144.3227996826172
0,113.65158081054688,143.95249938964844
0,113.38378143310547,143.53070068359375
0,113.14776611328125,143.43150329589844
0,112.93189239501953,143.49510192871094
0,112.66619110107422,143.21200561523438
0,112.57424926757812,142.97459411621094
0,112.29021453857422,142.79840087890625
0,112.11869812011719,142.74989318847656
0,112.00157165527344,142.33340454101562
0,111.78916931152344,142.0034942626953
0,111.60465240478516,141.90370178222656
0,111.35139465332031,141.8430938720703
0,111.26103210449219,141.61549377441406
0,111.16106414794922,141.54640197753906
0,110.97057342529297,141.2230987548828
0,110.81509399414062,141.24850463867188
0,110.65045166015625,141.0435028076172
0,110.51597595214844,141.029296875
0,110.41764831542969,140.57449340820312
0,110.20221710205078,140.73489379882812
0,110.22611999511719,140.71400451660156
0,110.05049133300781,140.40699768066406
0,109.88140869140625,140.42999267578125
0,109.78619384765625,140.3468017578125
0,109.80484008789062,140.17979431152344
0,109.66155242919922,140.3715057373047
0,109.47034454345703,140.12330627441406
0,109.5466079711914,139.8791961669922
0,109.31566619873047,139.73350524902344
0,109.22699737548828,139.7631072998047
0,109.22425079345703,139.74969482421875
0,109.11644744873047,139.5196075439453
0,109.0565185546875,139.67120361328125
0,109.02598571777344,139.43069458007812
0,108.80913543701172,139.3863067626953
0,108.81294250488281,139.3040008544922
0,108.70905303955078,139.17190551757812
0,108.78069305419922,139.25979614257812
0,108.57023620605469,139.2093048095703
0,108.5929183959961,139.12319946289062
0,108.56819152832031,139.04750061035156
0,108.47888946533203,139.05299377441406
0,108.35285186767578,138.93350219726562
0,108.34468841552734,138.93580627441406
0,108.33381652832031,138.85569763183594
0,108.28031158447266,138.864501953125
0,108.16263580322266,138.81509399414062
0,108.21929931640625,138.6508026123047
0,108.11713409423828,138.5626983642578
0,108.05159759521484,138.69650268554688
0,108.00811767578125,138.30470275878906
0,107.95720672607422,138.39889526367188
0,107.88473510742188,138.4152069091797
0,107.82243347167969,138.40170288085938
0,107.8192138671875,138.51939392089844
0,107.84964752197266,138.40199279785156
0,107.63432312011719,138.38690185546875
0,107.70831298828125,138.21730041503906
0,107.7079086303711,138.11419677734375
0,107.7630386352539,138.1230926513672
0,107.61793518066406,138.07110595703125
0,107.60469818115234,138.18020629882812
