Epoch,Average Training Error,Average Validation Error
0,86.06874084472656,118.75639343261719
1,78.70286560058594,118.82869720458984
2,81.9263687133789,118.78170013427734
3,83.17189025878906,118.71119689941406
4,83.81561279296875,118.73019409179688
5,84.40169525146484,118.69649505615234
6,84.52011108398438,118.66609954833984
7,84.75025939941406,118.46429443359375
8,84.93036651611328,118.50029754638672
9,84.6446304321289,118.69029998779297
10,84.91773986816406,118.55599975585938
11,85.07672882080078,118.60209655761719
12,84.91404724121094,118.30159759521484
13,84.7127685546875,118.375
14,84.58647918701172,118.33889770507812
15,84.51126861572266,118.33489990234375
16,84.35667419433594,118.55289459228516
17,84.44355010986328,118.35169982910156
18,84.10164642333984,118.37809753417969
19,84.0540771484375,118.29649353027344
20,83.58494567871094,118.2428970336914
21,83.414306640625,118.12659454345703
22,83.26517486572266,117.98009490966797
23,83.02596282958984,118.1613998413086
24,83.10245513916016,118.18309783935547
25,82.79246520996094,118.22589874267578
26,82.59214782714844,118.13619995117188
27,82.8327865600586,118.3311996459961
28,82.45386505126953,118.1106948852539
29,81.89269256591797,118.10769653320312
30,81.95662689208984,118.10679626464844
31,81.41991424560547,118.11729431152344
32,81.32697296142578,117.9395980834961
33,81.4738998413086,117.90859985351562
34,80.88935852050781,117.96109771728516
35,80.78677368164062,118.00639343261719
36,80.89155578613281,117.90950012207031
37,80.83502960205078,117.91959381103516
38,80.51123046875,118.05259704589844
39,80.52289581298828,117.86100006103516
40,80.32830047607422,117.9677963256836
41,80.08548736572266,117.81279754638672
42,79.76567840576172,117.84679412841797
43,80.10652160644531,117.85759735107422
44,80.01729583740234,117.8511962890625
45,79.79788970947266,117.88679504394531
46,79.63412475585938,117.83159637451172
47,79.42193603515625,117.86299896240234
48,79.28871154785156,117.85440063476562
49,79.29732513427734,117.72019958496094
