Epoch,Average Training Error,Average Validation Error
0,58.20599,36.32770625
1,39.0772375,31.31506875
2,34.774865,28.139475
3,31.472385,26.0418875
4,29.2351575,24.68809375
5,27.765915,23.7666609375
6,26.7499575,23.1259
7,26.0395475,22.6395796875
8,25.5139525,22.2703859375
9,25.11334,21.9735234375
10,24.77791,21.7206359375
11,24.49973,21.5076578125
12,24.2761825,21.3025
13,24.0621825,21.1389078125
14,23.895985,20.990346875
15,23.7465675,20.8559328125
16,23.61514,20.7356703125
17,23.50211,20.621640625
18,23.399225,20.5142453125
19,23.287715,20.4099625
20,23.200295,20.3279859375
21,23.1239025,20.2347171875
22,23.0396475,20.1543921875
23,22.9646825,20.0855484375
24,22.8997825,20.01375625
25,22.8385875,19.9544
26,22.777015,19.892428125
27,22.727885,19.8383875
28,22.6689875,19.781184375
29,22.6364775,19.7333
30,22.59467,19.6817921875
31,22.558475,19.6382671875
32,22.51234,19.600275
33,22.49005,19.565859375
34,22.46677,19.5322953125
35,22.42177,19.49720625
36,22.3897625,19.4710515625
37,22.357935,19.4430765625
38,22.3263525,19.4124890625
39,22.32607,19.380446875
40,22.295255,19.3647953125
41,22.27069,19.3358984375
42,22.2477125,19.31863125
43,22.2310125,19.29984375
44,22.2335125,19.2763
45,22.20055,19.2492890625
46,22.1764775,19.234065625
47,22.164905,19.2175046875
48,22.158415,19.189115625
49,22.146415,19.16859375
50,22.1274675,19.147690625
51,22.1031975,19.1365890625
52,22.10755,19.1183640625
53,22.09564,19.1066125
54,22.0554025,19.0961734375
55,22.06301,19.075478125
56,22.0441575,19.061925
57,22.042415,19.055521875
58,22.0330275,19.038678125
59,22.024905,19.0278671875
60,22.0117625,19.0128671875
61,22.0026625,19.0061109375
62,22.0158675,18.993665625
63,21.990705,18.9911640625
64,21.988655,18.9635703125
65,21.9772125,18.9568625
66,21.9613575,18.94916875
67,21.9514775,18.941
68,21.952705,18.9359921875
69,21.9427575,18.9188375
70,21.93108,18.9076796875
71,21.9177725,18.903334375
72,21.9101925,18.8937
73,21.9112275,18.879775
74,21.88794,18.8735875
75,21.8960325,18.867790625
76,21.8858375,18.8634015625
77,21.878305,18.8478984375
78,21.8741075,18.843909375
79,21.8643175,18.8327546875
80,21.8739225,18.8278546875
81,21.85934,18.820215625
82,21.8393475,18.8114125
83,21.83889,18.8193359375
84,21.834785,18.795275
85,21.8470825,18.8015640625
86,21.8359575,18.7893609375
87,21.81877,18.7818375
88,21.8184,18.7831
89,21.812085,18.772096875
90,21.8275225,18.7591078125
91,21.8126125,18.7490671875
92,21.79945,18.7516
93,21.7962575,18.7423328125
94,21.7818225,18.744809375
95,21.7891425,18.7363125
96,21.784795,18.7274125
97,21.7849275,18.718321875
98,21.7708575,18.7098140625
99,21.7729725,18.7110703125
100,21.7592975,18.707978125
101,21.755165,18.7028046875
102,21.7732425,18.701959375
103,21.7598025,18.6960734375
104,21.758825,18.68855
105,21.754965,18.6855078125
106,21.7471525,18.67478125
107,21.730385,18.6746359375
108,21.7350775,18.6676546875
109,21.7286325,18.665953125
110,21.7296975,18.66534375
111,21.7537875,18.6615359375
112,21.7442,18.6562453125
113,21.7210175,18.654334375
114,21.7229525,18.6510203125
115,21.7265825,18.645515625
116,21.721515,18.64593125
117,21.7018975,18.6387015625
118,21.7143175,18.6359390625
119,21.6975475,18.6342015625
120,21.694915,18.6231421875
121,21.695445,18.6195921875
122,21.694625,18.619946875
123,21.7092,18.6189171875
124,21.694235,18.6142265625
125,21.682365,18.6195
126,21.6980425,18.605153125
127,21.68754,18.6084015625
128,21.6906125,18.6011234375
129,21.687955,18.5992359375
130,21.6787025,18.5887953125
131,21.660285,18.5933078125
132,21.6837725,18.590203125
133,21.6708925,18.584525
134,21.66731,18.5892234375
135,21.6725275,18.57433125
136,21.656695,18.5727140625
137,21.6652725,18.5814390625
138,21.668525,18.5682484375
139,21.6572325,18.5749578125
140,21.6544975,18.5645296875
141,21.6514375,18.559575
142,21.667295,18.5620015625
143,21.6561725,18.560209375
144,21.6609275,18.5580515625
145,21.6471475,18.556353125
146,21.64041,18.550384375
147,21.65258,18.5432984375
148,21.6388625,18.5480375
149,21.647855,18.545575
150,21.646705,18.5379546875
151,21.637625,18.547090625
152,21.6307275,18.53885625
153,21.6229575,18.5311203125
154,21.628515,18.533946875
155,21.6389525,18.5254109375
156,21.6202025,18.531071875
157,21.6315275,18.522228125
158,21.6225775,18.5194125
159,21.6282475,18.5111125
160,21.6190025,18.514340625
161,21.6259775,18.5190359375
162,21.61604,18.5154
